,n_qubits,check_time,result
0,2,0.004528599,equivalent_up_to_global_phase
1,3,0.006695917,equivalent_up_to_global_phase
2,4,0.012183518,equivalent_up_to_global_phase
3,5,0.012102066,equivalent_up_to_global_phase
4,6,0.01581641,equivalent_up_to_global_phase
5,7,0.024203356,equivalent_up_to_global_phase
6,8,0.036194735,equivalent_up_to_global_phase
7,9,0.096514533,equivalent_up_to_global_phase
8,10,0.188317421,equivalent_up_to_global_phase
9,11,0.561387079,equivalent_up_to_global_phase
10,12,236.989797729,equivalent_up_to_global_phase
