,n_qubits,check_time,result
0,2,0.008573523,equivalent_up_to_global_phase
1,3,0.01393698,equivalent_up_to_global_phase
2,4,0.013552241,equivalent_up_to_global_phase
3,5,0.014864174,equivalent_up_to_global_phase
4,6,0.019196103,equivalent_up_to_global_phase
5,7,0.022264092,equivalent_up_to_global_phase
6,8,0.045054643,equivalent_up_to_global_phase
7,9,0.246939614,equivalent_up_to_global_phase
8,10,0.163884364,equivalent_up_to_global_phase
9,11,284.797582264,equivalent_up_to_global_phase
